number,code,title,doi,zenodo_id,slug,portfolios,tags,explainer,status,notes,hotlogiq_community
291,GaugeAccounting,The Topology of Conservation: Double-Entry Accounting as a Discrete Gauge Theory of Macroeconomics,10.5281/zenodo.20234853,20234853,10.5281-zenodo.20234853,G,economics|gauge-theory|topology|thermodynamics,True,published,,
292,PolicyDags,Beyond DAGs: A Non-Associative Algebra of Policy Interventions,10.5281/zenodo.20234870,20234870,10.5281-zenodo.20234870,G,economics|non-associative-algebra|causality,True,published,,
293,ThermalShapley,"Thermal Attribution: Differentiable Shapley Values, Latent Bottlenecks, and the Tropical Limit of Cooperative Game Theory",10.5281/zenodo.20236870,20236870,10.5281-zenodo.20236870,G,economics|thermodynamics|attribution|ai-ml,True,published,,
294,GibbsRoute,"Thermodynamic Information Routing: A Unified Framework for Gibbs Aggregation Across Economics, Computation, and Knowledge Retrieval",10.5281/zenodo.20237288,20237288,10.5281-zenodo.20237288,G|A,economics|thermodynamics|information-routing|ai-ml,True,published,,
295,CurrencyBundle,Currency Bundles: Foreign Exchange as Connection Curvature on the Pacioli Manifold,10.5281/zenodo.20242355,20242355,10.5281-zenodo.20242355,G,economics|gauge-theory|foreign-exchange|curvature,True,published,,
296,TermStructure,Term Structure Bundles: Interest Rates as Temporal Connections on the Pacioli Manifold,10.5281/zenodo.20244445,20244445,10.5281-zenodo.20244445,G,economics|gauge-theory|interest-rates|term-structure,True,published,,
297,EulerMascheroni,The Geometry of the Euler–Mascheroni Constant,10.5281/zenodo.20139443,20139443,10.5281-zenodo.20139443,E,number-theory|geometry|thermodynamics|holonomy,True,published,,
298,CreditBundle,Credit Bundles: Survival Probabilities as Parallel Transport on the Pacioli Manifold,10.5281/zenodo.20257596,20257596,10.5281-zenodo.20257596,G,economics|gauge-theory|credit-risk|parallel-transport,True,published,,
299,XvaCurv2,Valuation Adjustments as Curvature: XVA in Financial Gauge Theory,10.5281/zenodo.20257724,20257724,10.5281-zenodo.20257724,,,True,published,,
300,EconGauge,"Economic Gauge Theory: Stock-Flow Consistency, Thermodynamic Constraints, and Climate Risk on the Pacioli Manifold",10.5281/zenodo.20259495,20259495,10.5281-zenodo.20259495,G,economics|gauge-theory|stock-flow-consistency|climate,True,published,,
301,GaugePrimer,A Primer on Economic Gauge Theory,10.5281/zenodo.20259505,20259505,10.5281-zenodo.20259505,G,economics|gauge-theory|thermodynamics,True,published,,
305,DiffMacro,Differentiable Agent-Based Macroeconomics: A Gauge-Theoretic Digital Twin on the Pacioli Manifold,10.5281/zenodo.20261945,20261945,10.5281-zenodo.20261945,G,economics|agent-based-models|differentiable-programming|ai-ml,True,published,,
306,PacioliDsl,The Pacioli Combinator Library: A Universal Domain-Specific Language for Financial and Economic Computation,10.5281/zenodo.20262070,20262070,10.5281-zenodo.20262070,G,economics|dsl|programming|gauge-theory,True,published,,
311,ClimateYield,"The Climate Hazard Yield Surface: A Geometric Framework for the Economics of Climate Action, with Per-Household Dollar Translation and the Doomsday Clock Isocurve",10.5281/zenodo.20291646,20291646,10.5281-zenodo.20291646,G,economics|climate|policy|gauge-theory,True,published,,
318,FemocoMono,[RETRACTED] Virtual Monopoles in the FeMo-Cofactor: G2 Symmetry Does Not Apply to d-Electron Systems,10.5281/zenodo.20346650,20346650,10.5281-zenodo.20346650,B,fano|g2|octonions|biophysics,True,retracted,"v2 retraction uploaded 2026-07-27 at same concept DOI; monopoles impossible in finite clusters, G2 needs 7-dim rep (d-electrons only have 5); see Paper 721 for full correction",
321,EvoQuantProg,Evolutionary Quantum Programming: The 731 ISA as a Rosetta Stone for Directed Energy Transfer in Biology,10.5281/zenodo.20393465,20393465,10.5281-zenodo.20393465,B,fano|biophysics|origami-isa|evolution,True,published,,
323,FanoChoreo,Fano-Guided Search for High-Winding Equal-Mass Three-Body Choreographies,10.5281/zenodo.20369300,20369300,10.5281-zenodo.20369300,B|E,fano|three-body|choreography|ai-for-science,True,published,,
325,TopoHeatEng,The Topological Heat Engine: The 6-7 Architecture as a Thermodynamic Diode,10.5281/zenodo.20400638,20400638,10.5281-zenodo.20400638,A,fano|thermodynamics|biophysics|quantum-foundations,True,published,,true
357,MipStar,The Origami ISA as a Structural Model for MIP* Verification,10.5281/zenodo.20516899,20516899,10.5281-zenodo.20516899,F|B,quantum-foundations|fano|origami-isa|complexity,True,published,,
361,FanoOrbitMag,Fano Orbit Decomposition of Magic: Wigner Negativity as Broken-Line Activation in the 3-Qubit Phase Space,10.5281/zenodo.20541583,20541583,10.5281-zenodo.20541583,F,fano|magic|wigner|phase-space|orbit-valence,True,published,,
363,FanoUnifyQec,Fano Geometry as a Unifying Language for Quantum Error Correction: Stabiliser Codes Magic States and Self-Testing from a Single Projective Plane,10.5281/zenodo.20541595,20541595,10.5281-zenodo.20541595,F|C,fano|qec|steane-code|magic|self-testing|stabiliser|wigner|orbit-valence|ghz|psl27,True,published,,
366,ValenceTheory,A Valence Theory of Quantum Magic: Fano Orbit Structure of the 3-Qubit Phase Space and the CS Magic Composition Theorem,10.5281/zenodo.20541665,20541665,10.5281-zenodo.20541665,F,fano|magic|orbit-valence|wigner|quantum-foundations,True,published,,
370,NatComputer,The Origami ISA as Nature's Universal Computer: One Instruction Set Twenty Orders of Magnitude,10.5281/zenodo.20543454,20543454,10.5281-zenodo.20543454,A|B,origami-isa|fano|spectroscopy|universal-computer,True,published,,
385,SquTriq,The SQU TriQ and SevenQ: Standard Hardware Registers for the Origami ISA,10.5281/zenodo.20581486,20581486,10.5281-zenodo.20581486,C,fano|hardware|origami-isa|qec|orbit-valence,True,published,,
393,ProjGeomQm,Projective Geometry as the Mother Tongue of Quantum Mechanics: From Brody & Hughston's CP^n to the Fano Orbit Decomposition,10.5281/zenodo.20634729,20634729,10.5281-zenodo.20634729,F|B,fano|projective-geometry|quantum-foundations|wigner|metaplectic|category-theory|brody-hughston,True,published,,
396,UnhedgeThm,The Unhedgeability Theorem: Sheaf Cohomology of Interaction Diagrams and the Topology of Financial Risk,10.5281/zenodo.20635479,20635479,10.5281-zenodo.20635479,G|B,sheaf-cohomology|economics|gauge-theory|origami-isa,True,published,,
397,SystRiskH2,Systemic Risk as H²: Cohomological Stress Testing the Unhedgeable Residual and Why the 2008 Crisis Was a Topological Event,10.5281/zenodo.20642908,20642908,10.5281-zenodo.20642908,G|B,sheaf-cohomology|systemic-risk|xva|wrong-way-risk|sifi|contagion|pentagon|stress-testing|econiac,True,published,,true
398,TopoRiskPrim,The Topology of Risk: A Primer on Cohomology for Financial Practitioners,10.5281/zenodo.20642983,20642983,10.5281-zenodo.20642983,G|B,sheaf-cohomology|primer|bilateral-risk|triangular-risk|systemic-risk|xva|2008-crisis|econiac|tutorial,True,published,,true
399,IsaFinMiddle,The Origami ISA as Financial Middleware: SPLIT and SPLAT as the Cech Coboundary Model-Free XVA and the Unification of Four Computational Paradigms,10.5281/zenodo.20645695,20645695,10.5281-zenodo.20645695,F|G|B,origami-isa|cech-cohomology|xva|model-free|pentagon|financial-middleware|econiac|sheaf-cohomology,True,published,,
403,ClimateSheath,Tipping Points Are Topological: Sheaf Cohomology of the Climate System and the H¹-Corrected Social Cost of Carbon,10.5281/zenodo.20653285,20653285,10.5281-zenodo.20653285,B|G,sheaf-cohomology|climate|tipping-points|social-cost-of-carbon|h1-cohomology|armstrong-mckay|paris-targets|econiac,True,published,,
404,SplatFourier,The Origami ISA and the State Hidden Subgroup Problem: SPLAT as Fourier Sampling,10.5281/zenodo.20667167,20667167,10.5281-zenodo.20667167,F|C,origami-isa|state-hsp|splat|fourier-sampling|bell-sampling|stabiliser-learning|abelian|character-povm,True,published,,
405,NonAbelHsp,Non-Associative Hardware is Necessary for the Non-Abelian State Hidden Subgroup Problem: PSL(2-7) via the 731 ISA and the SevenQ Register,10.5281/zenodo.20667170,20667170,10.5281-zenodo.20667170,F|C,origami-isa|non-abelian|state-hsp|psl27|fano|spin-opcode|sevenq|associamancy|731-isa,True,published,,
406,OrigamiMbqc,Origami MBQC: The Origami ISA as a Measurement-Based Instruction Set,10.5281/zenodo.20667729,20667729,10.5281-zenodo.20667729,F|C,origami-isa|mbqc|fano-cluster-state|photonics|731-isa|spin-opcode|measurement-based|cluster-state,True,published,,
408,FanoPrimer,The Fano Plane is the Right Way to Think About Qubits: A Practitioner's Guide to the Origami ISA and Associamancy,10.5281/zenodo.20667176,20667176,10.5281-zenodo.20667176,F|C,origami-isa|primer|fano|associamancy|magic|stabiliser|731-isa|qec|tutorial,True,published,,true
409,EconIacGuide,EconIAC: A Differentiable Economics Engine — Overview Mathematical Foundations and Reading Guide,10.5281/zenodo.20679006,20679006,10.5281-zenodo.20679006,G,econiac|overview|reading-guide|gauge-theory|sheaf-cohomology|pacioli|gibbs|systemic-risk|primer|tutorial,True,published,,true
410,SpinFoamIsa,Spin Foams as Origami: Loop Quantum Gravity from the ISA Perspective,10.5281/zenodo.20680634,20680634,10.5281-zenodo.20680634,F|B,lqg|spin-foam|origami-isa|pachner|ponzano-regge|eprl|g2|barbero-immirzi|monopole|sevenq|non-associative,True,published,,
411,IsaPulse,Origami ISA Pulse Sequences: Optimal Control of the 731 Gate Set — DRAG as ISA Typing Triality as Berry Phase and the G₂ Circuit Depth of the SPIN Opcode,10.5281/zenodo.20680609,20680609,10.5281-zenodo.20680609,F|C,origami-isa|pulse-control|grape|drag|triality|spin-opcode|berry-phase|g2|weyl-group|holonomic|transmon|trapped-ion|731-isa,True,published,,
412,IsaTypedDsl,The Origami ISA as a Typed Quantum DSL: Dependent Types Linear Types and the Schur Boundary as a Type Error,10.5281/zenodo.20681513,20681513,10.5281-zenodo.20681513,F|C,origami-isa|typed-dsl|linear-types|dependent-types|schur-boundary|associamancy|no-cloning|pentagon-identity|pacioli|combinator-library|type-theory,True,published,,
413,MolMachines,Molecular Machines as Origami ISA Programmes: Ribosomes Photosynthesis and Nitrogenase as Pachner-Move Computers,10.5281/zenodo.20682101,20682101,10.5281-zenodo.20682101,B,ribosome|fmo|nitrogenase|femoco|fano|6j-symbol|origami-isa|photosynthesis|molecular-machine|spectroscopy|g2|triality|broken-fano,True,published,,true
415,H1PerfCond,H1=0 is the Performance Condition: Eight Algorithms as Origami ISA Programmes on Different Sheaves,10.5281/zenodo.20684509,20684509,10.5281-zenodo.20684509,F|C|G,sheaf-cohomology|h1|elastic-hashing|gemm|max-flow|cache-coherence|slam|mittag-leffler|consensus|tda|origami-isa|pentagon-identity|coboundary|temperature|complexity,True,published,Eight algorithms unified as ISA programmes on different sheaves,
417,HodgeSmoothLim,Hodge Theory is the Smooth Limit of the Origami ISA: Discrete Algorithms as Tropical Shadows of Smooth Manifold Problems,10.5281/zenodo.20684838,20684838,10.5281-zenodo.20684838,F|C,hodge-theory|origami-isa|tropical|information-geometry|fisher-metric|parallel-transport|natural-gradient|spectral-gap|index-theorem|slam|trs|mge|harmonic-forms,True,published,Smooth limit of ISA; completes TRS/MGE programme,
419,ForgeIsa,The Forge ISA: A Temperature-Parameterised Instruction Set for Thermodynamic Computation,10.5281/zenodo.20694527,20694527,10.5281-zenodo.20694527,A,forge-isa|thermodynamic|beta|snap-event|vorton|gibbs|trs|temperature|phase-transition,True,published,,
420,HkLadder,The H^k Complexity Ladder: Sheaf Cohomology as a Pre-Diagnostic for Algorithmic Hardness,10.5281/zenodo.20773526,20773526,10.5281-zenodo.20773526,A,complexity|sheaf-cohomology|h0|h1|h2|bpp|bqp|pspace|p-np|beta-star|algorithmic-hardness,True,published,,true
426,BeyondBasel,Beyond Basel: A Cohomological Framework for Systemic Risk Regulation,10.5281/zenodo.20701683,20701683,10.5281-zenodo.20701683,G,systemic-risk|regulation|basel|g-sib|network-topology|sheaf-cohomology|betti-numbers|funding-loops|capital-requirements|lcr|nsfr|lender-of-last-resort|bagehot|mehrling|ccp|macroprudential|resolution|financial-stability|2008-crisis|marginal-capital-charge|deep-framework,True,published,,
443,PlanckDisguise,Planck's Constant in Disguise: Five Classical Dualities as a Single Semiring Deformation,10.5281/zenodo.20752384,20752384,10.5281-zenodo.20752384,A,semiring-deformation|maslov|tropical|cole-hopf|black-scholes|sinkhorn|kantorovich|viterbi|forward-backward|hamilton-jacobi|schrodinger|burgers|planck|duality|unification,True,published,,true
445,KitaevMenag,The Kitaev Menagerie in Origami: Topological Phases Anyon F-Matrices and the ISA Hierarchy,10.5281/zenodo.20752352,20752352,10.5281-zenodo.20752352,A,kitaev|toric-code|honeycomb|anyon|f-matrix|racah|6j-symbol|origami-isa|731-isa|frog-calculus|zx-calculus|topological-quantum-computation|ising-anyon|fibonacci-anyon|gibbs-isa|beta-scheduling|nishimori|h1-cohomology|error-correction|phase-transition|non-abelian,True,published,,
451,CodonS3,Codon Recognition on S³ × S³ × S³: Product Manifold Geometry and Exact ΔΔG Additivity in Ribosomal Decoding,10.5281/zenodo.20761315,20761315,10.5281-zenodo.20761315,,,True,published,,
454,MeldIsa,The Meld ISA: Complex-MGE Quantum Algorithm Discovery and the T-Gate as Octonion Obstruction,10.5281/zenodo.20773563,20773563,10.5281-zenodo.20773563,A,meld-isa|quantum-computing|shor|qft|t-gate|clifford|bind|fano|hidden-subgroup|lwe|ml-kem|post-quantum|pqc|complex-mge|h2-cohomology,True,published,,true
455,EightDerivs,The Origami ISA: Eight Derivations of a Universal Instruction Set,10.5281/zenodo.20774076,20774076,10.5281-zenodo.20774076,A,origami-isa|eight-derivations|pachner|wigner-racah|mac-lane|frobenius|fisher-information|hodge|shum|universal-instruction-set,True,published,,true
456,RankTransmute,The Alchemy of Distributions Revisited: Rank Transmutation Maps as Beta-Deformations of the Tropical Semiring,10.5281/zenodo.20784870,20784870,10.5281-zenodo.20784870,A,rank-transmutation|beta-deformation|tropical-semiring|fisher-information|order-statistics|optimal-transport|origami-isa|jacobi-polynomials|softmax|gibbs-ensemble|differentiable-distributions|sheaf-cohomology,True,published,,
457,ThermalAz,The Thermal AZ Table: Origami ISA Classification of the Tenfold Way and its Forge ISA Thermalisation,10.5281/zenodo.20955478,20955478,10.5281-zenodo.20955478,A|B,tenfold-way|az-table|origami-isa|forge-isa|symmetry-class|topological-insulator|kitaev|bott-periodicity|thermal-classification|superconductor,True,published,,
466,MagicValPrim,Magic Has Valence: A Primer on the Fano Orbit Classification of 3-Qubit CZ-Type Stabiliser States,10.5281/zenodo.21158966,21158966,10.5281-zenodo.21158966,A|F,magic|stabiliser|orbit|fano|wigner|clifford|origami-isa|valence,True,published,,
468,IsaProp,Resource Theory as Circuit Syntax: The Origami ISA as a Coloured PROP,10.5281/zenodo.20955514,20955514,10.5281-zenodo.20955514,A,resource-theory|prop|coloured-prop|circuit-syntax|monoidal-category|frobenius|zx-calculus|origami-isa|dark-magic|stabiliser,True,published,,
473,ProjHierarchy,The Projective Hierarchy of Computation,10.5281/zenodo.21219706,21219706,10.5281-zenodo.21219706,A|F,projective-hierarchy|clifford|magic|simulability|grover|palmer|invariant-set|eigenphase|mana|twist|origami-isa,True,published,,
476,CliffordCohom,The Clifford Hierarchy as Group Cohomology,10.5281/zenodo.21219713,21219713,10.5281-zenodo.21219713,A|F,clifford-hierarchy|group-cohomology|schur-multiplier|symplectic|metaplectic|twist|magic|obstruction|eastin-knill|origami-isa,True,published,,true
477,ThreeFormsMge,The Three Forms of the Maslov-Gibbs Einsum,10.5281/zenodo.21225240,21225240,10.5281-zenodo.21225240,A|F,mge|maslov|clifford|tropical|metaplectic|stabiliser|h0|h1|h2|weil-representation|twist|origami-isa,True,published,,true
478,DerivPricing,Cohomological Obstruction Theory for Derivatives Pricing,10.5281/zenodo.21158959,21158959,10.5281-zenodo.21158959,A|G,derivatives-pricing|cohomology|h0|h1|h2|arbitrage|gauge-theory|credit-derivatives|correlation|2008-crisis|obstruction-theory|soitheach-folamh,True,published,,true
480,QecCohom,Quantum Error Correction as Cohomological Encoding,10.5281/zenodo.21164006,21164006,10.5281-zenodo.21164006,B|F,qec|cohomology|steane-code|css-codes|topological-codes|toric-code|chain-complex|h0|h1|h2|beta-threshold,True,published,,
491,TropDft,G-Walk Chemistry as the Tropical Degeneration of Density Functional Theory,10.5281/zenodo.21224113,21224113,10.5281-zenodo.21224113,A|B,g-walk-chemistry|tropical-geometry|dft|tropical-degeneration|tanabe-sugano|derivative-discontinuity|newton-polytope|spin-crossover|tropical-variety,True,published,,true
509,MetabComp,Metabolism as Computation: Biochemical Pathways as Origami ISA Programmes,10.5281/zenodo.21219724,21219724,10.5281-zenodo.21219724,A|B,metabolism|biochemistry|isa|glycolysis|krebs-cycle|electron-transport|calvin-cycle|nitrogen-fixation|atp|cofactor|origami-isa|orbit-opcode|h0|h1|aerobic|anaerobic,True,published,,
543,AdelicBeta,The Adelic Beta-Plane: A Unified Parameter Space for Classical Statistical Quantum and p-adic Computation,10.5281/zenodo.21245459,21245459,10.5281-zenodo.21245459,A,complex-beta-plane|adelic|mge|pt-symmetry|population-inversion|p-adic|ambient|meld|forge|origami|tropical|maslov|exceptional-point|palmer|quantum-chaos,True,published,,
548,GwalkNucleon,G-Walk Nucleonics: Nuclear Reactions as Orbit-Occupancy Programmes in the Origami ISA,10.5281/zenodo.21249152,21249152,10.5281-zenodo.21249152,A|E,nuclear-physics|shell-model|magic-numbers|cno-cycle|r-process|tropical-geometry|origami-isa|g-walk|nucleosynthesis|kilonova|gw170817|trs-framework,True,published,,
550,MeanFieldHk,Mean-Field Theory as an H^k ISA Programme: From Thomas-Fermi to the Adelic Atom,10.5281/zenodo.21250670,21250670,10.5281-zenodo.21250670,A,mean-field-theory|thomas-fermi|scott-correction|schwinger|fefferman-seco|adelic-atom|number-theory|riemann-zeta|van-der-corput|h-k-ladder|trs-framework|quantum-chemistry|atomic-physics,True,published,,
551,AdelicAtom2,"The Adelic Atom: L-Functions, Selberg Trace, and the Riemann Hypothesis via Thomas-Fermi ISA",10.5281/zenodo.21301604,21301604,10.5281-zenodo.21301604,,,True,published,,
563,GrassmannAmp,The Condensed Matter Amplituhedron: CASSCF Wavefunctions as Geodesics on the Grassmannian,10.5281/zenodo.21277815,21277815,10.5281-zenodo.21277815,A|B,grassmannian|casscf|schmidt-decomposition|amplituhedron|hubbard-model|mott-transition|correlation-energy|h-k-ladder|trs-framework|quantum-chemistry|condensed-matter,True,published,,true
570,UnivBonding,A Universal Theory of Chemical Bonding from the Grassmannian,10.5281/zenodo.21277821,21277821,10.5281-zenodo.21277821,A|B,chemical-bonding|grassmannian|schmidt-decomposition|casscf|lewis-theory|mo-theory|vb-theory|resonance|benzene|noon-bond-order|h-k-ladder|trs-framework|quantum-chemistry,True,published,,true
572,KuperbergG2,The Kuperberg G2 Spider is the BIND Calculus,10.5281/zenodo.21278538,21278538,10.5281-zenodo.21278538,,,True,published,,
574,GrassParent,The Grassmannian as the Common Parent of Bonding and Scattering,10.5281/zenodo.21279006,21279006,10.5281-zenodo.21279006,A|B|E,grassmannian|bonding|scattering|amplituhedron|twistor|leading-singularity|unitarity|h-k-ladder|trs-framework|quantum-chemistry|high-energy-physics,True,published,,
575,NuclearBond,Nuclear Bonding as H2: The ISA Theory of the Strong-Force Bond,10.5281/zenodo.21279217,21279217,10.5281-zenodo.21279217,A|E,nuclear-bonding|tensor-force|deuteron|pion-exchange|hoyle-state|h2-obstruction|bind-opcode|nuclear-physics|h-k-ladder|trs-framework,True,published,,true
578,SpecBondAdj,The Quantum Chemistry Hierarchy as Iterated Kan Extension,10.5281/zenodo.21284201,21284201,10.5281-zenodo.21284201,A|B|F,category-theory|kan-extension|grassmannian|quantum-chemistry|h-k-ladder|trs-framework,True,published,,
580,RiskGrass,The Grassmannian of Systematic Risk: Factor Models Contagion and the 2008 Crisis,10.5281/zenodo.21284204,21284204,10.5281-zenodo.21284204,A|G,grassmannian|systematic-risk|factor-models|contagion|2008-crisis|geodesic-collapse|h-k-ladder|trs-framework|finance|risk-management,True,published,,
588,TopoActSpace2,The Topological Active Space: Weak Lifting and C/T Skeleton Pre-Screening for CASSCF,10.5281/zenodo.21300668,21300668,10.5281-zenodo.21300668,,,True,published,,
594,GrassCompress2,"Grassmannian Compression: Active Space Selection as Geometry, Transport, and Topology",10.5281/zenodo.21309089,21309089,10.5281-zenodo.21309089,,,True,published,,
595,WeylChamber2,Weyl Chamber Homology: Bredon Cohomology of the Two-Qubit Gate Polytope,10.5281/zenodo.21345107,21345107,10.5281-zenodo.21345107,,,True,published,,
596,WeylRouting2,Weyl-Stratified Active Space Compression: Topological Routing of Orbital Pairs to Exact Correlation Methods,10.5281/zenodo.21346077,21346077,10.5281-zenodo.21346077,,,True,published,,
598,OrbitProc2,"The Orbit Processing Unit: Schubert Cells, SVD Memory, and Turing Completeness on the Grassmannian",10.5281/zenodo.21360838,21360838,10.5281-zenodo.21360838,,,True,published,,
605,IsaRosetta2,"One Programme, Many Backends: The Origami ISA as a Hardware-Independent Quantum Programming Language",10.5281/zenodo.21360909,21360909,10.5281-zenodo.21360909,,,True,published,,
615,RavenEnzyme,The Raven ISA: Enzymes as Molecular Programs,10.5281/zenodo.21416925,21416925,10.5281-zenodo.21416925,,,True,published,,
622,PentagonIsa2,"The Pentagon ISA: Confluence, Coherence, and Uniqueness for the Motive Instruction Set Architecture",10.5281/zenodo.21416916,21416916,10.5281-zenodo.21416916,,,True,published,,
631,OpenOrigami,Origami: An Open Instruction Set Architecture for Quantum Computing,10.5281/zenodo.21428853,21428853,10.5281-zenodo.21428853,A|C,isa|origami|quantum-computing|instruction-set|open-source,True,published,,true
680,PtAmplituhedron,PT Symmetry and the Amplituhedron: The Positive Grassmannian as the PT-Unbroken Phase,10.5281/zenodo.21518107,21518107,10.5281-zenodo.21518107,A|B,pt-symmetry|exceptional-points|amplituhedron|positive-grassmannian|bcfw|scattering-amplitudes|non-hermitian|collinear-limit|origami-isa|snap-threshold,True,published,,true
697,HitchinJT,Conical Intersections as Hitchin Branch Points: Spectral Curves and the Period Matrix for PAT-q Active Sites,10.5281/zenodo.21558771,21558771,10.5281-zenodo.21558771,A|E,conical-intersections|hitchin-system|berry-phase|jahn-teller|spectral-curve|photochemistry|porphyrin|femoco|nitrogenase|enzyme-catalysis|pat-q|algebraic-geometry|origami-isa,True,published,,
699,BondsHitchin,Chemical Bonds as Hitchin Branch Points,10.5281/zenodo.21562293,21562293,10.5281-zenodo.21562293,A|E,chemical-bonding|hitchin-system|spectral-curve|symmetry-breaking|symmetry-making|branch-points|epsilon-crossing|pat-classification|enzymes|catalysis|twistor-chemistry,True,published,,
705,PorphyrinPat,The Porphyrin Ring as PAT-2: Metal Selectivity in Biological Macrocycle Catalysts from Hitchin Geometry,10.5281/zenodo.21613237,21613237,10.5281-zenodo.21613237,A|E,porphyrin|haem|chlorophyll|cobalamin|b12|blue-copper|hitchin-geometry|metal-selectivity|entatic-state|soret-band|pat-2|macrocycle-catalysis|origami-isa,True,published,,
709,PeriodicTableS3,Filling by Winding: A Topological Derivation of the Periodic Table from S³ Geometry,10.5281/zenodo.21608229,21608229,10.5281-zenodo.21608229,A|B|E,periodic-table|aufbau|madelung-rule|torus-knots|s3-geometry|winding-number|kustaanheimo-stiefel|janet-table|anomalous-configurations|electron-configuration|orbital-topology|so4-symmetry,True,published,,
710,FrontierWindingGap,The Frontier Winding Gap: Topological Origin of Chemical Reactivity,10.5281/zenodo.21612627,21612627,10.5281-zenodo.21612627,A|E,winding-number|homo-lumo-gap|reactivity|transition-metals|noble-gases|aromaticity|18-electron-rule|periodic-table|catalysis|orbital-topology|variable-valence|huckel-rule,True,published,,
711,WindingBranching,Winding-Shell Branching: Molecular Orbital Theory from SO(4) to G,10.5281/zenodo.21612629,21612629,10.5281-zenodo.21612629,A|E,molecular-orbital-theory|electron-counting|octet-rule|huckel-rule|18-electron-rule|walsh-diagrams|jahn-teller|casscf|active-space|winding-number|point-groups|branching-rules|chemical-bonding|origami-isa,True,published,,
712,NoShellGame,No Shell Game: A Topological Criterion for MCSCF Active Space Selection,10.5281/zenodo.21612846,21612846,10.5281-zenodo.21612846,A|E,active-space|casscf|dmrg|winding-numbers|transition-metals|quantum-chemistry|multi-reference|orbital-topology|so4|madelung-rule,True,published,,
